ProviderId,ProductCategory,ChannelId,Date,Amount,Value,PricingStrategy,Hour,Day,Month,MargeBrute,TauxRentabilité
ProviderId_5,airtime,ChannelId_3,2019-02-13,1000.0,1000,4,10,13,2,0.0,0.0
ProviderId_5,financial_services,ChannelId_3,2019-02-13,2000.0,2000,2,10,13,2,0.0,0.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-50.0,50,2,10,13,2,-100.0,-2.0
ProviderId_5,airtime,ChannelId_3,2019-02-13,3000.0,3000,4,10,13,2,0.0,0.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-60.0,60,2,10,13,2,-120.0,-2.0
ProviderId_6,airtime,ChannelId_3,2019-02-13,1000.0,1000,2,10,13,2,0.0,0.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-50.0,50,2,10,13,2,-100.0,-2.0
ProviderId_3,airtime,ChannelId_3,2019-02-13,1000.0,1000,1,10,13,2,0.0,0.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-50.0,50,2,10,13,2,-100.0,-2.0
ProviderId_3,financial_services,ChannelId_3,2019-02-13,1161.0,1161,0,10,13,2,0.0,0.0
ProviderId_4,airtime,ChannelId_5,2019-02-13,-1000.0,1000,4,10,13,2,-2000.0,-2.0
ProviderId_5,airtime,ChannelId_3,2019-02-13,1000.0,1000,4,10,13,2,0.0,0.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-50.0,50,2,10,13,2,-100.0,-2.0
ProviderId_1,airtime,ChannelId_3,2019-02-13,2000.0,2000,4,10,13,2,0.0,0.0
ProviderId_6,airtime,ChannelId_3,2019-02-13,1000.0,1000,2,10,13,2,0.0,0.0
ProviderId_1,airtime,ChannelId_3,2019-02-13,2000.0,2000,4,10,13,2,0.0,0.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-50.0,50,2,10,13,2,-100.0,-2.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-100.0,100,2,10,13,2,-200.0,-2.0
ProviderId_5,airtime,ChannelId_3,2019-02-13,2500.0,2500,4,10,13,2,0.0,0.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-50.0,50,2,10,13,2,-100.0,-2.0
ProviderId_1,financial_services,ChannelId_3,2019-02-13,500.0,500,2,10,13,2,0.0,0.0
ProviderId_6,airtime,ChannelId_3,2019-02-13,1000.0,1000,2,10,13,2,0.0,0.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-20.0,20,2,10,13,2,-40.0,-2.0
ProviderId_5,tv,ChannelId_3,2019-02-13,33000.0,33990,2,10,13,2,-990.0,-0.02912621359223301
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-462.0,462,2,10,13,2,-924.0,-2.0
ProviderId_1,airtime,ChannelId_3,2019-02-13,5000.0,5000,4,10,13,2,0.0,0.0
ProviderId_4,airtime,ChannelId_5,2019-02-13,-1000.0,1000,4,10,13,2,-2000.0,-2.0
ProviderId_4,airtime,ChannelId_5,2019-02-13,-500.0,500,4,10,13,2,-1000.0,-2.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-250.0,250,2,10,13,2,-500.0,-2.0
ProviderId_6,airtime,ChannelId_3,2019-02-13,1000.0,1000,2,10,13,2,0.0,0.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-47.5,48,2,10,13,2,-95.5,-1.9895833333333333
ProviderId_6,airtime,ChannelId_3,2019-02-13,300.0,300,2,10,13,2,0.0,0.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-15.0,15,2,10,13,2,-30.0,-2.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-1000.0,1000,2,10,13,2,-2000.0,-2.0
ProviderId_6,airtime,ChannelId_3,2019-02-13,10000.0,10000,2,10,13,2,0.0,0.0
ProviderId_6,airtime,ChannelId_3,2019-02-13,1000.0,1000,2,10,13,2,0.0,0.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-500.0,500,2,10,13,2,-1000.0,-2.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-50.0,50,2,10,13,2,-100.0,-2.0
ProviderId_5,financial_services,ChannelId_3,2019-02-13,5000.0,5000,2,10,13,2,0.0,0.0
ProviderId_6,airtime,ChannelId_3,2019-02-13,5000.0,5000,2,10,13,2,0.0,0.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-250.0,250,2,10,13,2,-500.0,-2.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-1000.0,1000,2,10,13,2,-2000.0,-2.0
ProviderId_6,airtime,ChannelId_3,2019-02-13,300.0,300,2,10,13,2,0.0,0.0
ProviderId_6,airtime,ChannelId_3,2019-02-13,1000.0,1000,2,10,13,2,0.0,0.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-50.0,50,2,10,13,2,-100.0,-2.0
ProviderId_6,airtime,ChannelId_3,2019-02-13,5000.0,5000,2,10,13,2,0.0,0.0
ProviderId_6,airtime,ChannelId_3,2019-02-13,1000.0,1000,2,10,13,2,0.0,0.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-50.0,50,2,10,13,2,-100.0,-2.0
ProviderId_5,airtime,ChannelId_3,2019-02-13,1200.0,1200,4,11,13,2,0.0,0.0
ProviderId_4,financial_services,ChannelId_2,2019-02-13,-60.0,60,2,11,13,2,-120.0,-2.0
ProviderId_3,airtime,ChannelId_3,2019-02-13,1000.0,1000,1,11,13,2,0.0,0.0
